x,y,z,timepoint
9.598217284,11.72819783,11.38206383,Mock
8.937548896,8.653749788,11.10731412,Mock
9.632931976,9.657277729,9.115804302,Mock
9.77039316,12.4780379,11.45108236,Mock
30.42669903,31.29092932,28.90120361,Mock
30.78949684,30.06990894,30.76714486,Mock
29.62345328,27.52478198,30.1013478,Mock
29.2113438,30.13453467,29.49952472,Mock
10.07859238,9.507094779,10.58841864,Mock
11.62982144,11.35423092,10.37314873,Mock
30.46610014,31.68886547,30.39595663,Mock
10.23551819,10.4853148,9.892777905,Mock
8.394792721,10.7701994,8.440451378,Mock
8.420915104,10.815901,9.933510677,Mock
11.17144616,11.80875058,9.126048436,Mock
28.88131756,30.34610528,28.21821948,Mock
11.51124172,10.36775258,10.67326609,Mock
30.32120095,31.41083407,30.07552364,Mock
10.45261285,11.51381877,10.9525973,Mock
10.1592347,11.22268893,10.07535879,Mock
10.62006533,11.07692629,11.40518306,Mock
29.99703654,29.13684967,29.59133233,Mock
30.11777816,29.85208419,29.74504134,Mock
30.02456271,32.49286132,30.35197799,Mock
10.30388463,10.26915814,8.75582163,Mock
9.312749156,11.91676112,9.363164877,Mock
29.3486588,30.06801969,31.11929599,Mock
30.03687516,31.66845757,31.05922824,Mock
29.77685761,29.59338272,29.76526041,Mock
10.38005211,9.166033048,8.951813416,Mock
10.46038282,10.42777623,8.495769629,Mock
10.89628654,11.10661515,8.112795421,Mock
10.61896738,10.29829645,12.18410153,Mock
8.820317546,11.40950766,10.87114258,Mock
10.54387417,9.881886946,9.485064477,Mock
8.899224666,9.808317359,11.0671898,Mock
8.33454495,7.626771881,9.126345939,Mock
28.37209437,29.03940797,30.4662546,Mock
7.928787445,10.53760555,9.217437041,Mock
30.55095264,30.51162496,28.74442505,Mock
28.86705953,30.47227549,29.43594702,Mock
9.641067192,10.45596592,13.31946424,Mock
31.22795055,29.60593872,32.57221772,Mock
30.70165398,29.14272644,31.23959178,Mock
30.56359484,30.69315308,30.94419065,Mock
11.47738226,9.922504302,9.261544182,Mock
10.63319269,10.88731294,8.31497419,Mock
11.38941156,11.73721701,10.16933912,Mock
9.627602351,10.65572832,10.52563758,Mock
