timepoint,TrackSOM_metacluster_lineage_tracking,x,y,z,count,countPerDay,proportion
Mock,A,29.8420965308205,29.9548817472107,29.9047928598417,2022,7100,0.284788732394366
Mock,B,10.011249348109,10.028860251081,10.0578412692018,5034,7100,0.709014084507042
Mock,C,24.9335077288636,18.9695289600909,19.3686399465455,44,7100,0.00619718309859155
SYN-1,A,29.9796557147394,29.9797342321489,29.9498568709826,2015,7100,0.283802816901408
SYN-1,B,10.3780488052148,10.4021937749735,10.456515950373,4946,7100,0.696619718309859
SYN-1,C,31.1153734544445,16.0988849254889,20.5852461437778,45,7100,0.00633802816901409
SYN-1,A|1,15.9115639625,27.792008835,19.284755465,4,7100,0.000563380281690141
SYN-1,C|1,24.7941699975,10.230510413,8.97553767925,4,7100,0.000563380281690141
SYN-1,D,8.758986828,10.058508794,14.56835409,2,7100,0.00028169014084507
SYN-1,E,13.7455936942105,10.7891401811579,10.9838371884211,19,7100,0.00267605633802817
SYN-1,F,17.28540877,17.33992423,10.7962299,1,7100,0.000140845070422535
SYN-1,G,13.4456594049123,10.4257691948947,9.36706377049123,57,7100,0.00802816901408451
SYN-1,H,14.2123084014286,9.164995045,8.90868808571429,7,7100,0.000985915492957746
SYN-2,A,30.0047749757276,30.0798809697474,30.0028265145072,2019,7200,0.280416666666667
SYN-2,B,10.4050025361026,10.6320042183945,10.6198617881771,4710,7200,0.654166666666667
SYN-2,C,43.1847082622727,20.7777176327273,18.0654852429545,22,7200,0.00305555555555556
SYN-2,D,8.88845946645,10.416737034,14.820681128,20,7200,0.00277777777777778
SYN-2,E,14.0900134556579,10.840350147,10.8918874265789,76,7200,0.0105555555555556
SYN-2,F,15.4581066513333,10.8092909448667,9.68317001586667,15,7200,0.00208333333333333
SYN-2,G,13.6146448327536,10.4558766620797,9.39716661902898,138,7200,0.0191666666666667
SYN-2,H,14.39540181,9.20408531754,9.24651701094,50,7200,0.00694444444444444
SYN-2,A|2,17.4083140862,31.254307905,43.283991169,10,7200,0.00138888888888889
SYN-2,B|1,13.13409405,7.805889437,36.040984365,2,7200,0.000277777777777778
SYN-2,C|2,26.605565154,12.6738537508,42.102843442,5,7200,0.000694444444444445
SYN-2,C|3,30.2001871522222,25.8865059166667,11.1556527361111,9,7200,0.00125
